                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8748,                 3.3988,                 1.5943,                0.30618,                0.20315,                0.16668,                0.06649,                 1.9861,                 2.9395,                 1.8746,               0.070199,              0.0033113,              0.0033113
                      2,                 1.8359,                  2.615,                 1.5244,                0.33502,                0.37033,                0.25067,                0.08795,                 2.1535,                 2.9848,                 1.8697,               0.040067,               0.006513,               0.006513
                      3,                   1.91,                 2.4511,                  1.553,                0.21904,                0.27954,                0.14019,                0.04678,                 2.3371,                  3.365,                  2.335,              0.0098035,              0.0095828,              0.0095828
                      4,                 1.9684,                 2.4625,                 1.6231,                0.24223,                0.33123,                0.18558,                0.07259,                 2.1115,                 3.0564,                 2.0474,               0.009406,               0.009406,               0.009406
                      5,                 1.9416,                  2.375,                 1.6231,                0.29747,                0.34894,                0.22146,                0.08537,                 2.0927,                 2.7773,                 2.1094,               0.009406,               0.009406,               0.009406
                      6,                 1.9395,                 2.2515,                 1.5946,                0.33234,                0.36479,                0.27903,                0.10737,                 2.0933,                 2.5375,                 2.0087,               0.009208,               0.009208,               0.009208
                      7,                 1.8976,                 2.1789,                 1.5937,                0.39411,                   0.41,                0.32445,                0.13526,                 2.0217,                 2.4069,                 1.8402,                0.00901,                0.00901,                0.00901
                      8,                 1.8724,                 2.1068,                  1.562,                  0.378,                0.38822,                0.29205,                0.11315,                 2.0199,                  2.447,                 1.8151,               0.008812,               0.008812,               0.008812
                      9,                 1.8519,                 2.0886,                 1.5545,                0.40335,                0.40548,                0.33224,                0.14457,                 1.9716,                 2.3103,                  1.833,               0.008614,               0.008614,               0.008614
                     10,                 1.8613,                  2.042,                 1.5577,                0.43826,                0.38544,                0.33872,                  0.141,                 2.0329,                 2.3142,                  1.963,               0.008416,               0.008416,               0.008416
                     11,                  1.833,                 1.9495,                 1.5403,                0.45752,                0.44643,                0.39804,                0.16984,                 1.9758,                 2.0806,                 1.7501,               0.008218,               0.008218,               0.008218
                     12,                 1.8115,                 1.9469,                 1.5259,                 0.4288,                0.43034,                0.38026,                0.16135,                 1.9296,                 2.2055,                 1.8302,                0.00802,                0.00802,                0.00802
                     13,                  1.795,                 1.9069,                   1.51,                0.46714,                0.43863,                0.41383,                0.18782,                  1.921,                 2.0409,                 1.7451,               0.007822,               0.007822,               0.007822
                     14,                  1.761,                 1.8681,                  1.487,                0.42575,                0.43982,                 0.3693,                0.17037,                 1.9306,                 2.1434,                 1.7571,               0.007624,               0.007624,               0.007624
                     15,                 1.7575,                 1.8506,                 1.4957,                0.50273,                0.44408,                0.43477,                0.19507,                 1.9065,                  1.955,                 1.7433,               0.007426,               0.007426,               0.007426
                     16,                 1.7412,                 1.8357,                   1.46,                0.51697,                0.47616,                0.45782,                0.20887,                 1.8334,                 1.9241,                 1.7061,               0.007228,               0.007228,               0.007228
                     17,                 1.7317,                 1.7731,                 1.4561,                0.50323,                0.46765,                0.44391,                0.19677,                 1.9099,                 1.9559,                  1.702,                0.00703,                0.00703,                0.00703
                     18,                 1.7132,                 1.7918,                 1.4575,                0.47424,                0.47826,                0.43287,                 0.1954,                 1.9026,                 2.0076,                 1.7066,               0.006832,               0.006832,               0.006832
                     19,                 1.6904,                 1.7694,                 1.4492,                0.52244,                0.45645,                0.44799,                0.20429,                 1.8967,                 1.9304,                 1.7066,               0.006634,               0.006634,               0.006634
                     20,                 1.6967,                 1.7361,                 1.4422,                 0.4887,                0.47682,                0.45188,                0.20794,                 1.9069,                 1.9303,                 1.7446,               0.006436,               0.006436,               0.006436
