               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1023,            0.022028,            0.023214,           0.0050547,             0.64263,             0.11905,            0.039056,             0.08257,            0.029967,            0.011176,            0.070545,           0.0032727,           0.0032727
                   1,            0.073464,             0.01929,            0.011503,             0.26804,             0.11497,             0.10913,            0.032927,            0.074976,            0.026973,           0.0065883,             0.04048,           0.0065407,           0.0065407
                   2,            0.066426,            0.017711,           0.0082806,             0.26487,             0.20006,             0.13118,            0.042404,            0.072999,            0.028159,           0.0074855,            0.010349,           0.0097426,           0.0097426
                   3,             0.06353,            0.016251,           0.0066972,             0.24457,             0.28639,             0.16177,            0.051795,            0.067133,            0.026956,             0.00573,            0.009703,            0.009703,            0.009703
                   4,            0.061135,            0.016681,            0.006564,             0.23231,             0.24135,             0.16763,            0.054088,            0.064724,            0.027083,           0.0070822,            0.009703,            0.009703,            0.009703
                   5,             0.05916,            0.016089,           0.0057314,             0.21046,             0.18778,               0.117,             0.04088,             0.07092,            0.028996,            0.013587,            0.009604,            0.009604,            0.009604
                   6,            0.057672,            0.015806,           0.0064377,             0.23388,             0.25223,             0.17773,            0.059271,             0.06534,            0.028763,            0.011221,            0.009505,            0.009505,            0.009505
                   7,            0.056473,            0.016149,           0.0056173,             0.33696,             0.27391,             0.18153,            0.054045,            0.065762,            0.029514,           0.0098849,            0.009406,            0.009406,            0.009406
                   8,            0.054478,            0.015316,           0.0050932,             0.44423,             0.34344,             0.28712,             0.10599,            0.058569,            0.029419,           0.0040779,            0.009307,            0.009307,            0.009307
                   9,            0.053257,            0.014951,           0.0051046,             0.28009,             0.27158,             0.16065,            0.054377,            0.064388,            0.030668,           0.0077257,            0.009208,            0.009208,            0.009208
                  10,            0.052826,            0.015528,           0.0047464,              0.3937,             0.39791,             0.31795,              0.1206,              0.0598,            0.027464,           0.0041127,            0.009109,            0.009109,            0.009109
                  11,             0.05191,            0.014175,           0.0042189,             0.31595,             0.32419,             0.24011,            0.085208,            0.058938,            0.028091,           0.0065775,             0.00901,             0.00901,             0.00901
